name,Region,year,y_diff,pop_n,pop_u,wat_bas_n,wat_bas_n(rounded),wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_bas_r(rounded),wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_bas_u(rounded),wat_lim_u,wat_unimp_u,wat_sur_u,ARC_N,ARC_N(full),ARC_N(filtered),ARC_R,ARC_R(full),ARC_R(filtered),ARC_U,ARC_U(full),ARC_U(filtered),ARC_DIFF
Gabon,Sub-Saharan Africa,2020,5,2225.728027,90.09200287,85.3419306,85,7.735263103,6.922808357,null,44.74588901,45,10.51114859,44.7429624,null,89.80653917,90,7.42998076,2.763480072,null,,,,,,,,,,
Gambia,Sub-Saharan Africa,2015,,2085.860107,59.22800064,79.2101665,79,9.073370006,11.62401462,0.09244887038,68.25489257,68,15.34008454,16.32238996,0.08263292471,86.75167126,87,4.759421567,8.389701102,0.0992060715,0.346048128,,0.346048128,0.186726128,,0.186726128,0.243046602,,0.243046602,-0.056320474
Gambia,Sub-Saharan Africa,2020,5,2416.664063,62.58199692,80.94040714,81,8.597391391,10.35285207,0.1093493927,69.18852321,69,16.49783239,14.24376547,0.0698789368,87.96690427,88,3.873689522,8.026457278,0.1329489253,,,,,,,,,,
Georgia,Europe & Central Asia,2015,,4024.179932,57.44799805,95.75472951,96,0.9519645583,3.239894931,0.0534109954,91.29515059,91,1.893756292,6.700216388,0.1108767321,99.05796545,99,0.2543750856,0.6768136054,0.01084585945,0.318682038,,0.318682038,0.595346722,,0.595346722,0.077637698,,0.077637698,0.517709024
Georgia,Europe & Central Asia,2020,5,3989.175049,59.4529953,97.3481397,97,0,2.632761379,0.01909892327,94.2718842,94,0,5.703923618,0.02419218345,99.44615394,99,0,0.538220742,0.01562531586,,,,,,,,,,
Germany,Europe & Central Asia,2015,,81787.41406,77.20000458,100.0000024,100,0,0,0,100,100,0,0,0,100,100,0,0,0,-0.00000001999999881,Full access,,0,Full access,,0,Full access,,0
Germany,Europe & Central Asia,2020,5,83783.94531,77.45300293,100.0000023,100,0,0,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
Ghana,Sub-Saharan Africa,2015,,27849.20313,54.08599854,80.15796123,80,7.89759919,4.426643676,7.517795899,67.20830477,67,11.1534648,6.335259242,15.30297119,91.15101984,91,5.133670929,2.806405888,0.9089033445,1.126607084,,1.126607084,0.936889056,,0.936889056,0.995247936,,0.995247936,-0.05835888
Ghana,Sub-Saharan Africa,2020,5,31072.94531,57.34899902,85.79099665,86,6.586062113,2.812216176,4.810725058,71.89275005,72,11.93454827,4.999356483,11.17334519,96.12725952,96,2.608342455,1.185613803,0.07878421819,,,,,,,,,,
Gibraltar,Europe & Central Asia,2015,,33.74200058,100,100,100,0,0,0,null,null,null,null,null,100,100,0,0,0,0,Full access,,Null,,,0,Full access,,
Gibraltar,Europe & Central Asia,2020,5,33.69100189,100,100,100,0,0,0,null,null,null,null,null,100,100,0,0,0,,,,,,,,,,
Greece,Europe & Central Asia,2015,,10659.7373,78.04600525,100.0000046,100,0,0,0,100,100,0,0,0,100,100,0,0,0,-0.0000004599999983,Full access,,0,Full access,,0,Full access,,0
Greece,Europe & Central Asia,2020,5,10423.05566,79.71500397,100.0000023,100,0,0,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
Greenland,North America,2015,,56.37799835,86.07099915,100,100,0,0,0,100,100,0,0,0,100,100,0,0,0,0.0000003399999997,Full access,,0,Full access,,0,Full access,,0
Greenland,North America,2020,5,56.77199936,87.28200531,100.0000017,100,0,0,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
Grenada,Latin America & Caribbean,2015,,109.6029968,35.99700165,95.62865044,96,1.161481584,0,3.209867972,null,null,null,null,null,null,null,null,null,null,0,,0,Null,,,Null,,,
Grenada,Latin America & Caribbean,2017,2,110.8740005,36.16400146,95.62865044,96,1.161481584,0,3.209867972,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
Guadeloupe,Latin America & Caribbean,2015,,400.2600098,98.44300079,99.61102813,100,0,0.3889718724,0,null,null,null,null,null,null,null,null,null,null,0.038419582,Full access,0.038419582,Null,,,Null,,,
Guadeloupe,Latin America & Caribbean,2020,5,400.1270142,98.49899292,99.80312604,100,0,0.1968739613,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
